(('model', 'driven', 'engineering', 'languages'), 28)
(('engineering', 'advanced', 'applications', 'model'), 1)
(('advanced', 'applications', 'model', 'driven'), 1)
(('applications', 'model', 'driven', 'engineering'), 1)
(('engineering', 'languages', 'systems', 'computer'), 1)
(('languages', 'systems', 'computer', 'safety'), 1)
(('systems', 'computer', 'safety', 'reliability'), 1)
(('safety', 'reliability', 'security', 'internet'), 1)
(('reliability', 'security', 'internet', 'things'), 1)
(('security', 'internet', 'things', 'model'), 1)
(('internet', 'things', 'model', 'driven'), 1)
(('things', 'model', 'driven', 'engineering'), 1)
(('engineering', 'languages', 'systems', 'modeling'), 1)
(('languages', 'systems', 'modeling', 'software'), 1)
(('systems', 'modeling', 'software', 'engineering'), 1)
(('modeling', 'software', 'engineering', 'electronics'), 1)
(('software', 'engineering', 'electronics', 'evaluation'), 1)
(('engineering', 'electronics', 'evaluation', 'assessment'), 1)
(('electronics', 'evaluation', 'assessment', 'software'), 1)
(('evaluation', 'assessment', 'software', 'engineering'), 1)
(('assessment', 'software', 'engineering', 'model'), 1)
(('adaptive', 'selfmanaging', 'systems', 'software'), 1)
(('selfmanaging', 'systems', 'software', 'engineering'), 1)
(('systems', 'software', 'engineering', 'advanced'), 1)
(('engineering', 'advanced', 'applications', 'software'), 1)
(('advanced', 'applications', 'software', 'engineering'), 1)
(('applications', 'software', 'engineering', 'aspects'), 1)
(('software', 'engineering', 'aspects', 'continuous'), 1)
(('engineering', 'aspects', 'continuous', 'development'), 1)
(('aspects', 'continuous', 'development', 'software'), 1)
(('software', 'production', 'deployment', 'leveraging'), 1)
(('production', 'deployment', 'leveraging', 'applications'), 1)
(('deployment', 'leveraging', 'applications', 'formal'), 1)
(('leveraging', 'applications', 'formal', 'methods'), 1)
(('applications', 'formal', 'methods', 'verification'), 1)
(('formal', 'methods', 'verification', 'validation'), 1)
(('methods', 'verification', 'validation', 'systems'), 1)
(('verification', 'validation', 'systems', 'software'), 1)
(('validation', 'systems', 'software', 'product'), 1)
(('software', 'product', 'line', 'computers'), 1)
(('product', 'line', 'computers', 'industry'), 1)
(('line', 'computers', 'industry', 'microservices'), 1)
(('computers', 'industry', 'microservices', 'science'), 1)
(('industry', 'microservices', 'science', 'engineering'), 1)
(('microservices', 'science', 'engineering', 'production'), 1)
(('science', 'engineering', 'production', 'engineering'), 1)
(('engineering', 'production', 'engineering', 'model'), 1)
(('production', 'engineering', 'model', 'driven'), 1)
(('systems', 'applied', 'computing', 'software'), 1)
(('applied', 'computing', 'software', 'engineering'), 1)
(('computing', 'software', 'engineering', 'advanced'), 1)
(('engineering', 'advanced', 'applications', 'mathematics'), 1)
(('advanced', 'applications', 'mathematics', 'actuarial'), 1)
(('applications', 'mathematics', 'actuarial', 'science'), 1)
(('mathematics', 'actuarial', 'science', 'computer'), 1)
(('actuarial', 'science', 'computer', 'science'), 1)
(('science', 'computer', 'science', 'statistics'), 1)
(('computer', 'science', 'statistics', 'embedded'), 1)
(('science', 'statistics', 'embedded', 'computing'), 1)
(('statistics', 'embedded', 'computing', 'systems'), 1)
(('embedded', 'computing', 'systems', 'quality'), 1)
(('computing', 'systems', 'quality', 'information'), 1)
(('information', 'communications', 'technology', 'object'), 1)
(('communications', 'technology', 'object', 'technology'), 1)
(('technology', 'object', 'technology', 'information'), 1)
(('object', 'technology', 'information', 'systems'), 1)
(('technology', 'information', 'systems', 'development'), 1)
(('information', 'systems', 'development', 'model'), 1)
(('systems', 'development', 'model', 'driven'), 1)
(('development', 'model', 'driven', 'engineering'), 1)
(('engineering', 'languages', 'systems', 'emerging'), 1)
(('languages', 'systems', 'emerging', 'technologies'), 1)
(('systems', 'emerging', 'technologies', 'factory'), 1)
(('emerging', 'technologies', 'factory', 'automation'), 1)
(('technologies', 'factory', 'automation', 'empirical'), 1)
(('factory', 'automation', 'empirical', 'software'), 1)
(('automation', 'empirical', 'software', 'engineering'), 1)
(('engineering', 'software', 'engineering', 'model'), 1)
(('languages', 'systems', 'automated', 'software'), 1)
(('systems', 'automated', 'software', 'engineering'), 1)
(('automated', 'software', 'engineering', 'software'), 1)
(('software', 'engineering', 'software', 'analysis'), 1)
(('engineering', 'software', 'analysis', 'evolution'), 1)
(('software', 'analysis', 'evolution', 'reengineering'), 1)
(('analysis', 'evolution', 'reengineering', 'model'), 1)
(('evolution', 'reengineering', 'model', 'driven'), 1)
(('reengineering', 'model', 'driven', 'engineering'), 1)
(('languages', 'systems', 'software', 'architecture'), 1)
(('systems', 'software', 'architecture', 'simulation'), 1)
(('software', 'architecture', 'simulation', 'modeling'), 1)
(('architecture', 'simulation', 'modeling', 'practice'), 1)
(('modeling', 'practice', 'theory', 'devops'), 1)
(('practice', 'theory', 'devops', 'trustworthy'), 1)
(('theory', 'devops', 'trustworthy', 'smart'), 1)
(('devops', 'trustworthy', 'smart', 'iot'), 1)
(('trustworthy', 'smart', 'iot', 'systems'), 1)
(('smart', 'iot', 'systems', 'model'), 1)
(('iot', 'systems', 'model', 'driven'), 1)
(('languages', 'systems', 'software', 'systems'), 1)
(('systems', 'software', 'systems', 'modeling'), 1)
(('software', 'systems', 'modeling', 'model'), 1)
(('systems', 'modeling', 'model', 'driven'), 1)
(('modeling', 'model', 'driven', 'engineering'), 1)
(('languages', 'systems', 'software', 'product'), 1)
(('software', 'product', 'line', 'qualityaware'), 1)
(('product', 'line', 'qualityaware', 'devops'), 1)
(('line', 'qualityaware', 'devops', 'software'), 1)
(('qualityaware', 'devops', 'software', 'testing'), 1)
(('devops', 'software', 'testing', 'analysis'), 1)
(('software', 'testing', 'analysis', 'business'), 1)
(('testing', 'analysis', 'business', 'modeling'), 1)
(('analysis', 'business', 'modeling', 'software'), 1)
(('business', 'modeling', 'software', 'design'), 1)
(('modeling', 'software', 'design', 'cloud'), 1)
(('software', 'design', 'cloud', 'computing'), 1)
(('design', 'cloud', 'computing', 'enterprise'), 1)
(('cloud', 'computing', 'enterprise', 'distributed'), 1)
(('computing', 'enterprise', 'distributed', 'object'), 1)
(('engineering', 'languages', 'systems', 'practice'), 1)
(('languages', 'systems', 'practice', 'enterprise'), 1)
(('systems', 'practice', 'enterprise', 'modeling'), 1)
(('practice', 'enterprise', 'modeling', 'modeling'), 1)
(('enterprise', 'modeling', 'modeling', 'computer'), 1)
(('modeling', 'modeling', 'computer', 'modeling'), 1)
(('modeling', 'computer', 'modeling', 'simulation'), 1)
(('computer', 'modeling', 'simulation', 'applied'), 1)
(('modeling', 'simulation', 'applied', 'sciences'), 1)
(('simulation', 'applied', 'sciences', 'technology'), 1)
(('applied', 'sciences', 'technology', 'systems'), 1)
(('sciences', 'technology', 'systems', 'software'), 1)
(('technology', 'systems', 'software', 'software'), 1)
(('systems', 'software', 'software', 'language'), 1)
(('software', 'software', 'language', 'engineering'), 1)
(('software', 'language', 'engineering', 'systems'), 1)
(('language', 'engineering', 'systems', 'programming'), 1)
(('engineering', 'systems', 'programming', 'languages'), 1)
(('programming', 'languages', 'applications', 'automated'), 1)
(('languages', 'applications', 'automated', 'software'), 1)
(('applications', 'automated', 'software', 'engineering'), 1)
(('automated', 'software', 'engineering', 'model'), 1)
(('engineering', 'languages', 'systems', 'enterprise'), 1)
(('languages', 'systems', 'enterprise', 'distributed'), 1)
(('engineering', 'languages', 'systems', 'quality'), 1)
(('languages', 'systems', 'quality', 'information'), 1)
(('information', 'communications', 'technology', 'software'), 1)
(('communications', 'technology', 'software', 'system'), 1)
(('technology', 'software', 'system', 'processes'), 1)
(('software', 'system', 'processes', 'industrial'), 1)
(('system', 'processes', 'industrial', 'cyberphysical'), 1)
(('processes', 'industrial', 'cyberphysical', 'systems'), 1)
(('industrial', 'cyberphysical', 'systems', 'model'), 1)
(('cyberphysical', 'systems', 'model', 'driven'), 1)
(('languages', 'systems', 'software', 'testing'), 1)
(('systems', 'software', 'testing', 'analysis'), 1)
(('software', 'testing', 'analysis', 'model'), 1)
(('testing', 'analysis', 'model', 'driven'), 1)
(('analysis', 'model', 'driven', 'engineering'), 1)
(('engineering', 'languages', 'systems', 'continuous'), 1)
(('languages', 'systems', 'continuous', 'software'), 1)
(('systems', 'continuous', 'software', 'engineering'), 1)
(('continuous', 'software', 'engineering', 'model'), 1)
(('engineering', 'languages', 'systems', 'availability'), 1)
(('languages', 'systems', 'availability', 'reliability'), 1)
(('systems', 'availability', 'reliability', 'security'), 1)
(('availability', 'reliability', 'security', 'theory'), 1)
(('reliability', 'security', 'theory', 'modeling'), 1)
(('security', 'theory', 'modeling', 'simulation'), 1)
(('theory', 'modeling', 'simulation', 'simulation'), 1)
(('modeling', 'simulation', 'simulation', 'software'), 1)
(('simulation', 'simulation', 'software', 'testing'), 1)
(('simulation', 'software', 'testing', 'verification'), 1)
(('testing', 'verification', 'validation', 'wireless'), 1)
(('verification', 'validation', 'wireless', 'communications'), 1)
(('validation', 'wireless', 'communications', 'simulation'), 1)
(('wireless', 'communications', 'simulation', 'modeling'), 1)
(('communications', 'simulation', 'modeling', 'practice'), 1)
(('modeling', 'practice', 'theory', 'industrial'), 1)
(('practice', 'theory', 'industrial', 'electronics'), 1)
(('theory', 'industrial', 'electronics', 'software'), 1)
(('industrial', 'electronics', 'software', 'engineering'), 1)
(('electronics', 'software', 'engineering', 'software'), 1)
(('engineering', 'software', 'engineering', 'practice'), 1)
(('software', 'engineering', 'practice', 'software'), 1)
(('engineering', 'practice', 'software', 'engineering'), 1)
(('practice', 'software', 'engineering', 'continuous'), 1)
(('software', 'production', 'deployment', 'future'), 1)
(('production', 'deployment', 'future', 'generation'), 1)
(('deployment', 'future', 'generation', 'computer'), 1)
(('future', 'generation', 'computer', 'systems'), 1)
(('generation', 'computer', 'systems', 'software'), 1)
(('computer', 'systems', 'software', 'testing'), 1)
(('systems', 'software', 'testing', 'verification'), 1)
(('testing', 'verification', 'validation', 'applied'), 1)
(('verification', 'validation', 'applied', 'computing'), 1)
(('validation', 'applied', 'computing', 'network'), 1)
(('applied', 'computing', 'network', 'service'), 1)
(('computing', 'network', 'service', 'management'), 1)
(('network', 'service', 'management', 'software'), 1)
(('service', 'management', 'software', 'engineering'), 1)
(('management', 'software', 'engineering', 'software'), 1)
(('engineering', 'software', 'engineering', 'education'), 1)
(('software', 'engineering', 'education', 'automation'), 1)
(('engineering', 'education', 'automation', 'software'), 1)
(('education', 'automation', 'software', 'test'), 1)
(('automation', 'software', 'test', 'information'), 1)
(('software', 'test', 'information', 'software'), 1)
(('information', 'software', 'technology', 'empirical'), 1)
(('software', 'technology', 'empirical', 'software'), 1)
(('technology', 'empirical', 'software', 'engineering'), 1)
(('engineering', 'software', 'quality', 'testing'), 1)
(('software', 'quality', 'testing', 'embedded'), 1)
(('quality', 'testing', 'embedded', 'cyberphysical'), 1)
(('testing', 'embedded', 'cyberphysical', 'systems'), 1)
(('embedded', 'cyberphysical', 'systems', 'dependable'), 1)
(('cyberphysical', 'systems', 'dependable', 'systems'), 1)
(('systems', 'dependable', 'systems', 'services'), 1)
(('dependable', 'systems', 'services', 'technologies'), 1)
(('systems', 'services', 'technologies', 'industrial'), 1)
(('services', 'technologies', 'industrial', 'informatics'), 1)
(('technologies', 'industrial', 'informatics', 'computer'), 1)
(('industrial', 'informatics', 'computer', 'safety'), 1)
(('informatics', 'computer', 'safety', 'reliability'), 1)
(('safety', 'reliability', 'security', 'availability'), 1)
(('reliability', 'security', 'availability', 'reliability'), 1)
(('security', 'availability', 'reliability', 'security'), 1)
(('availability', 'reliability', 'security', 'applications'), 1)
(('reliability', 'security', 'applications', 'formal'), 1)
(('security', 'applications', 'formal', 'methods'), 1)
(('applications', 'formal', 'methods', 'software'), 1)
(('formal', 'methods', 'software', 'systems'), 1)
(('methods', 'software', 'systems', 'modeling'), 1)
(('software', 'systems', 'modeling', 'systems'), 1)
(('systems', 'modeling', 'systems', 'enterprise'), 1)
(('modeling', 'systems', 'enterprise', 'distributed'), 1)
(('distributed', 'object', 'computing', 'information'), 1)
(('object', 'computing', 'information', 'systems'), 1)
(('computing', 'information', 'systems', 'software'), 1)
(('information', 'systems', 'software', 'technologies'), 1)
(('systems', 'software', 'technologies', 'software'), 1)
(('software', 'technologies', 'software', 'engineering'), 1)
(('technologies', 'software', 'engineering', 'continuous'), 1)
(('software', 'production', 'deployment', 'model'), 1)
(('production', 'deployment', 'model', 'driven'), 1)
(('deployment', 'model', 'driven', 'engineering'), 1)
(('engineering', 'languages', 'systems', 'modeldriven'), 1)
(('languages', 'systems', 'modeldriven', 'engineering'), 1)
(('systems', 'modeldriven', 'engineering', 'languages'), 1)
(('adaptive', 'selfmanaging', 'systems', 'requirements'), 1)
(('selfmanaging', 'systems', 'requirements', 'engineering'), 1)
(('systems', 'requirements', 'engineering', 'foundation'), 1)
(('requirements', 'engineering', 'foundation', 'software'), 1)
(('engineering', 'foundation', 'software', 'quality'), 1)
(('foundation', 'software', 'quality', 'model'), 1)
(('software', 'quality', 'model', 'driven'), 1)
(('quality', 'model', 'driven', 'engineering'), 1)
(('systems', 'software', 'engineering', 'continuous'), 1)
(('software', 'production', 'deployment', 'modeldriven'), 1)
(('production', 'deployment', 'modeldriven', 'engineering'), 1)
(('deployment', 'modeldriven', 'engineering', 'languages'), 1)
(('systems', 'computational', 'science', 'computational'), 1)
(('computational', 'science', 'computational', 'intelligence'), 1)
(('science', 'computational', 'intelligence', 'model'), 1)
(('computational', 'intelligence', 'model', 'driven'), 1)
(('intelligence', 'model', 'driven', 'engineering'), 1)
(('systems', 'computational', 'science', 'applications'), 1)
(('computational', 'science', 'applications', 'software'), 1)
(('science', 'applications', 'software', 'systems'), 1)
(('applications', 'software', 'systems', 'modeling'), 1)
(('software', 'systems', 'modeling', 'dependable'), 1)
(('systems', 'modeling', 'dependable', 'computing'), 1)
(('modeling', 'dependable', 'computing', 'design'), 1)
(('dependable', 'computing', 'design', 'automation'), 1)
(('computing', 'design', 'automation', 'test'), 1)
(('design', 'automation', 'test', 'big'), 1)
(('automation', 'test', 'big', 'data'), 1)
(('test', 'big', 'data', 'model'), 1)
(('big', 'data', 'model', 'driven'), 1)
(('data', 'model', 'driven', 'engineering'), 1)
