(('model', 'driven', 'engineering', 'languages', 'systems'), 28)
(('foundations', 'software', 'systems', 'modeling', 'services'), 1)
(('software', 'systems', 'modeling', 'services', 'computing'), 1)
(('systems', 'modeling', 'services', 'computing', 'machine'), 1)
(('modeling', 'services', 'computing', 'machine', 'learning'), 1)
(('services', 'computing', 'machine', 'learning', 'dynamic'), 1)
(('computing', 'machine', 'learning', 'dynamic', 'software'), 1)
(('machine', 'learning', 'dynamic', 'software', 'analysis'), 1)
(('learning', 'dynamic', 'software', 'analysis', 'potentials'), 1)
(('dynamic', 'software', 'analysis', 'potentials', 'limits'), 1)
(('software', 'analysis', 'potentials', 'limits', 'software'), 1)
(('analysis', 'potentials', 'limits', 'software', 'engineering'), 1)
(('potentials', 'limits', 'software', 'engineering', 'methodology'), 1)
(('limits', 'software', 'engineering', 'methodology', 'software'), 1)
(('software', 'engineering', 'methodology', 'software', 'architecture'), 1)
(('engineering', 'methodology', 'software', 'architecture', 'object'), 1)
(('methodology', 'software', 'architecture', 'object', 'technology'), 1)
(('software', 'architecture', 'object', 'technology', 'modeldriven'), 1)
(('architecture', 'object', 'technology', 'modeldriven', 'engineering'), 1)
(('object', 'technology', 'modeldriven', 'engineering', 'software'), 1)
(('technology', 'modeldriven', 'engineering', 'software', 'development'), 1)
(('modeldriven', 'engineering', 'software', 'development', 'design'), 1)
(('engineering', 'software', 'development', 'design', 'automation'), 1)
(('software', 'development', 'design', 'automation', 'test'), 1)
(('development', 'design', 'automation', 'test', 'information'), 1)
(('design', 'automation', 'test', 'information', 'software'), 1)
(('automation', 'test', 'information', 'software', 'technology'), 1)
(('test', 'information', 'software', 'technology', 'systems'), 1)
(('information', 'software', 'technology', 'systems', 'software'), 1)
(('software', 'technology', 'systems', 'software', 'empirical'), 1)
(('technology', 'systems', 'software', 'empirical', 'software'), 1)
(('systems', 'software', 'empirical', 'software', 'engineering'), 1)
(('software', 'empirical', 'software', 'engineering', 'software'), 1)
(('software', 'engineering', 'software', 'engineering', 'advanced'), 1)
(('engineering', 'software', 'engineering', 'advanced', 'applications'), 1)
(('software', 'engineering', 'advanced', 'applications', 'model'), 1)
(('engineering', 'advanced', 'applications', 'model', 'driven'), 1)
(('advanced', 'applications', 'model', 'driven', 'engineering'), 1)
(('applications', 'model', 'driven', 'engineering', 'languages'), 1)
(('driven', 'engineering', 'languages', 'systems', 'computer'), 1)
(('engineering', 'languages', 'systems', 'computer', 'safety'), 1)
(('languages', 'systems', 'computer', 'safety', 'reliability'), 1)
(('systems', 'computer', 'safety', 'reliability', 'security'), 1)
(('computer', 'safety', 'reliability', 'security', 'internet'), 1)
(('safety', 'reliability', 'security', 'internet', 'things'), 1)
(('reliability', 'security', 'internet', 'things', 'model'), 1)
(('security', 'internet', 'things', 'model', 'driven'), 1)
(('internet', 'things', 'model', 'driven', 'engineering'), 1)
(('things', 'model', 'driven', 'engineering', 'languages'), 1)
(('driven', 'engineering', 'languages', 'systems', 'modeling'), 1)
(('engineering', 'languages', 'systems', 'modeling', 'software'), 1)
(('languages', 'systems', 'modeling', 'software', 'engineering'), 1)
(('systems', 'modeling', 'software', 'engineering', 'electronics'), 1)
(('modeling', 'software', 'engineering', 'electronics', 'evaluation'), 1)
(('software', 'engineering', 'electronics', 'evaluation', 'assessment'), 1)
(('engineering', 'electronics', 'evaluation', 'assessment', 'software'), 1)
(('electronics', 'evaluation', 'assessment', 'software', 'engineering'), 1)
(('evaluation', 'assessment', 'software', 'engineering', 'model'), 1)
(('assessment', 'software', 'engineering', 'model', 'driven'), 1)
(('engineering', 'adaptive', 'selfmanaging', 'systems', 'software'), 1)
(('adaptive', 'selfmanaging', 'systems', 'software', 'engineering'), 1)
(('selfmanaging', 'systems', 'software', 'engineering', 'advanced'), 1)
(('systems', 'software', 'engineering', 'advanced', 'applications'), 1)
(('software', 'engineering', 'advanced', 'applications', 'software'), 1)
(('engineering', 'advanced', 'applications', 'software', 'engineering'), 1)
(('advanced', 'applications', 'software', 'engineering', 'aspects'), 1)
(('applications', 'software', 'engineering', 'aspects', 'continuous'), 1)
(('software', 'engineering', 'aspects', 'continuous', 'development'), 1)
(('engineering', 'aspects', 'continuous', 'development', 'software'), 1)
(('aspects', 'continuous', 'development', 'software', 'production'), 1)
(('development', 'software', 'production', 'deployment', 'leveraging'), 1)
(('software', 'production', 'deployment', 'leveraging', 'applications'), 1)
(('production', 'deployment', 'leveraging', 'applications', 'formal'), 1)
(('deployment', 'leveraging', 'applications', 'formal', 'methods'), 1)
(('leveraging', 'applications', 'formal', 'methods', 'verification'), 1)
(('applications', 'formal', 'methods', 'verification', 'validation'), 1)
(('formal', 'methods', 'verification', 'validation', 'systems'), 1)
(('methods', 'verification', 'validation', 'systems', 'software'), 1)
(('verification', 'validation', 'systems', 'software', 'product'), 1)
(('validation', 'systems', 'software', 'product', 'line'), 1)
(('systems', 'software', 'product', 'line', 'computers'), 1)
(('software', 'product', 'line', 'computers', 'industry'), 1)
(('product', 'line', 'computers', 'industry', 'microservices'), 1)
(('line', 'computers', 'industry', 'microservices', 'science'), 1)
(('computers', 'industry', 'microservices', 'science', 'engineering'), 1)
(('industry', 'microservices', 'science', 'engineering', 'production'), 1)
(('microservices', 'science', 'engineering', 'production', 'engineering'), 1)
(('science', 'engineering', 'production', 'engineering', 'model'), 1)
(('engineering', 'production', 'engineering', 'model', 'driven'), 1)
(('production', 'engineering', 'model', 'driven', 'engineering'), 1)
(('languages', 'systems', 'applied', 'computing', 'software'), 1)
(('systems', 'applied', 'computing', 'software', 'engineering'), 1)
(('applied', 'computing', 'software', 'engineering', 'advanced'), 1)
(('computing', 'software', 'engineering', 'advanced', 'applications'), 1)
(('software', 'engineering', 'advanced', 'applications', 'mathematics'), 1)
(('engineering', 'advanced', 'applications', 'mathematics', 'actuarial'), 1)
(('advanced', 'applications', 'mathematics', 'actuarial', 'science'), 1)
(('applications', 'mathematics', 'actuarial', 'science', 'computer'), 1)
(('mathematics', 'actuarial', 'science', 'computer', 'science'), 1)
(('actuarial', 'science', 'computer', 'science', 'statistics'), 1)
(('science', 'computer', 'science', 'statistics', 'embedded'), 1)
(('computer', 'science', 'statistics', 'embedded', 'computing'), 1)
(('science', 'statistics', 'embedded', 'computing', 'systems'), 1)
(('statistics', 'embedded', 'computing', 'systems', 'quality'), 1)
(('embedded', 'computing', 'systems', 'quality', 'information'), 1)
(('computing', 'systems', 'quality', 'information', 'communications'), 1)
(('quality', 'information', 'communications', 'technology', 'object'), 1)
(('information', 'communications', 'technology', 'object', 'technology'), 1)
(('communications', 'technology', 'object', 'technology', 'information'), 1)
(('technology', 'object', 'technology', 'information', 'systems'), 1)
(('object', 'technology', 'information', 'systems', 'development'), 1)
(('technology', 'information', 'systems', 'development', 'model'), 1)
(('information', 'systems', 'development', 'model', 'driven'), 1)
(('systems', 'development', 'model', 'driven', 'engineering'), 1)
(('development', 'model', 'driven', 'engineering', 'languages'), 1)
(('driven', 'engineering', 'languages', 'systems', 'emerging'), 1)
(('engineering', 'languages', 'systems', 'emerging', 'technologies'), 1)
(('languages', 'systems', 'emerging', 'technologies', 'factory'), 1)
(('systems', 'emerging', 'technologies', 'factory', 'automation'), 1)
(('emerging', 'technologies', 'factory', 'automation', 'empirical'), 1)
(('technologies', 'factory', 'automation', 'empirical', 'software'), 1)
(('factory', 'automation', 'empirical', 'software', 'engineering'), 1)
(('automation', 'empirical', 'software', 'engineering', 'software'), 1)
(('software', 'engineering', 'software', 'engineering', 'model'), 1)
(('engineering', 'software', 'engineering', 'model', 'driven'), 1)
(('engineering', 'languages', 'systems', 'automated', 'software'), 1)
(('languages', 'systems', 'automated', 'software', 'engineering'), 1)
(('systems', 'automated', 'software', 'engineering', 'software'), 1)
(('automated', 'software', 'engineering', 'software', 'analysis'), 1)
(('software', 'engineering', 'software', 'analysis', 'evolution'), 1)
(('engineering', 'software', 'analysis', 'evolution', 'reengineering'), 1)
(('software', 'analysis', 'evolution', 'reengineering', 'model'), 1)
(('analysis', 'evolution', 'reengineering', 'model', 'driven'), 1)
(('evolution', 'reengineering', 'model', 'driven', 'engineering'), 1)
(('reengineering', 'model', 'driven', 'engineering', 'languages'), 1)
(('engineering', 'languages', 'systems', 'software', 'architecture'), 1)
(('languages', 'systems', 'software', 'architecture', 'simulation'), 1)
(('systems', 'software', 'architecture', 'simulation', 'modeling'), 1)
(('software', 'architecture', 'simulation', 'modeling', 'practice'), 1)
(('architecture', 'simulation', 'modeling', 'practice', 'theory'), 1)
(('simulation', 'modeling', 'practice', 'theory', 'devops'), 1)
(('modeling', 'practice', 'theory', 'devops', 'trustworthy'), 1)
(('practice', 'theory', 'devops', 'trustworthy', 'smart'), 1)
(('theory', 'devops', 'trustworthy', 'smart', 'iot'), 1)
(('devops', 'trustworthy', 'smart', 'iot', 'systems'), 1)
(('trustworthy', 'smart', 'iot', 'systems', 'model'), 1)
(('smart', 'iot', 'systems', 'model', 'driven'), 1)
(('iot', 'systems', 'model', 'driven', 'engineering'), 1)
(('engineering', 'languages', 'systems', 'software', 'systems'), 1)
(('languages', 'systems', 'software', 'systems', 'modeling'), 1)
(('systems', 'software', 'systems', 'modeling', 'model'), 1)
(('software', 'systems', 'modeling', 'model', 'driven'), 1)
(('systems', 'modeling', 'model', 'driven', 'engineering'), 1)
(('modeling', 'model', 'driven', 'engineering', 'languages'), 1)
(('engineering', 'languages', 'systems', 'software', 'product'), 1)
(('languages', 'systems', 'software', 'product', 'line'), 1)
(('systems', 'software', 'product', 'line', 'qualityaware'), 1)
(('software', 'product', 'line', 'qualityaware', 'devops'), 1)
(('product', 'line', 'qualityaware', 'devops', 'software'), 1)
(('line', 'qualityaware', 'devops', 'software', 'testing'), 1)
(('qualityaware', 'devops', 'software', 'testing', 'analysis'), 1)
(('devops', 'software', 'testing', 'analysis', 'business'), 1)
(('software', 'testing', 'analysis', 'business', 'modeling'), 1)
(('testing', 'analysis', 'business', 'modeling', 'software'), 1)
(('analysis', 'business', 'modeling', 'software', 'design'), 1)
(('business', 'modeling', 'software', 'design', 'cloud'), 1)
(('modeling', 'software', 'design', 'cloud', 'computing'), 1)
(('software', 'design', 'cloud', 'computing', 'enterprise'), 1)
(('design', 'cloud', 'computing', 'enterprise', 'distributed'), 1)
(('cloud', 'computing', 'enterprise', 'distributed', 'object'), 1)
(('computing', 'enterprise', 'distributed', 'object', 'computing'), 1)
(('driven', 'engineering', 'languages', 'systems', 'practice'), 1)
(('engineering', 'languages', 'systems', 'practice', 'enterprise'), 1)
(('languages', 'systems', 'practice', 'enterprise', 'modeling'), 1)
(('systems', 'practice', 'enterprise', 'modeling', 'modeling'), 1)
(('practice', 'enterprise', 'modeling', 'modeling', 'computer'), 1)
(('enterprise', 'modeling', 'modeling', 'computer', 'modeling'), 1)
(('modeling', 'modeling', 'computer', 'modeling', 'simulation'), 1)
(('modeling', 'computer', 'modeling', 'simulation', 'applied'), 1)
(('computer', 'modeling', 'simulation', 'applied', 'sciences'), 1)
(('modeling', 'simulation', 'applied', 'sciences', 'technology'), 1)
(('simulation', 'applied', 'sciences', 'technology', 'systems'), 1)
(('applied', 'sciences', 'technology', 'systems', 'software'), 1)
(('sciences', 'technology', 'systems', 'software', 'software'), 1)
(('technology', 'systems', 'software', 'software', 'language'), 1)
(('systems', 'software', 'software', 'language', 'engineering'), 1)
(('software', 'software', 'language', 'engineering', 'systems'), 1)
(('software', 'language', 'engineering', 'systems', 'programming'), 1)
(('language', 'engineering', 'systems', 'programming', 'languages'), 1)
(('engineering', 'systems', 'programming', 'languages', 'applications'), 1)
(('systems', 'programming', 'languages', 'applications', 'automated'), 1)
(('programming', 'languages', 'applications', 'automated', 'software'), 1)
(('languages', 'applications', 'automated', 'software', 'engineering'), 1)
(('applications', 'automated', 'software', 'engineering', 'model'), 1)
(('automated', 'software', 'engineering', 'model', 'driven'), 1)
(('driven', 'engineering', 'languages', 'systems', 'enterprise'), 1)
(('engineering', 'languages', 'systems', 'enterprise', 'distributed'), 1)
(('languages', 'systems', 'enterprise', 'distributed', 'object'), 1)
(('driven', 'engineering', 'languages', 'systems', 'quality'), 1)
(('engineering', 'languages', 'systems', 'quality', 'information'), 1)
(('languages', 'systems', 'quality', 'information', 'communications'), 1)
(('quality', 'information', 'communications', 'technology', 'software'), 1)
(('information', 'communications', 'technology', 'software', 'system'), 1)
(('communications', 'technology', 'software', 'system', 'processes'), 1)
(('technology', 'software', 'system', 'processes', 'industrial'), 1)
(('software', 'system', 'processes', 'industrial', 'cyberphysical'), 1)
(('system', 'processes', 'industrial', 'cyberphysical', 'systems'), 1)
(('processes', 'industrial', 'cyberphysical', 'systems', 'model'), 1)
(('industrial', 'cyberphysical', 'systems', 'model', 'driven'), 1)
(('cyberphysical', 'systems', 'model', 'driven', 'engineering'), 1)
(('engineering', 'languages', 'systems', 'software', 'testing'), 1)
(('languages', 'systems', 'software', 'testing', 'analysis'), 1)
(('systems', 'software', 'testing', 'analysis', 'model'), 1)
(('software', 'testing', 'analysis', 'model', 'driven'), 1)
(('testing', 'analysis', 'model', 'driven', 'engineering'), 1)
(('analysis', 'model', 'driven', 'engineering', 'languages'), 1)
(('driven', 'engineering', 'languages', 'systems', 'continuous'), 1)
(('engineering', 'languages', 'systems', 'continuous', 'software'), 1)
(('languages', 'systems', 'continuous', 'software', 'engineering'), 1)
(('systems', 'continuous', 'software', 'engineering', 'model'), 1)
(('continuous', 'software', 'engineering', 'model', 'driven'), 1)
(('driven', 'engineering', 'languages', 'systems', 'availability'), 1)
(('engineering', 'languages', 'systems', 'availability', 'reliability'), 1)
(('languages', 'systems', 'availability', 'reliability', 'security'), 1)
(('systems', 'availability', 'reliability', 'security', 'theory'), 1)
(('availability', 'reliability', 'security', 'theory', 'modeling'), 1)
(('reliability', 'security', 'theory', 'modeling', 'simulation'), 1)
(('security', 'theory', 'modeling', 'simulation', 'simulation'), 1)
(('theory', 'modeling', 'simulation', 'simulation', 'software'), 1)
(('modeling', 'simulation', 'simulation', 'software', 'testing'), 1)
(('simulation', 'simulation', 'software', 'testing', 'verification'), 1)
(('simulation', 'software', 'testing', 'verification', 'validation'), 1)
(('software', 'testing', 'verification', 'validation', 'wireless'), 1)
(('testing', 'verification', 'validation', 'wireless', 'communications'), 1)
(('verification', 'validation', 'wireless', 'communications', 'simulation'), 1)
(('validation', 'wireless', 'communications', 'simulation', 'modeling'), 1)
(('wireless', 'communications', 'simulation', 'modeling', 'practice'), 1)
(('communications', 'simulation', 'modeling', 'practice', 'theory'), 1)
(('simulation', 'modeling', 'practice', 'theory', 'industrial'), 1)
(('modeling', 'practice', 'theory', 'industrial', 'electronics'), 1)
(('practice', 'theory', 'industrial', 'electronics', 'software'), 1)
(('theory', 'industrial', 'electronics', 'software', 'engineering'), 1)
(('industrial', 'electronics', 'software', 'engineering', 'software'), 1)
(('electronics', 'software', 'engineering', 'software', 'engineering'), 1)
(('software', 'engineering', 'software', 'engineering', 'practice'), 1)
(('engineering', 'software', 'engineering', 'practice', 'software'), 1)
(('software', 'engineering', 'practice', 'software', 'engineering'), 1)
(('engineering', 'practice', 'software', 'engineering', 'continuous'), 1)
(('practice', 'software', 'engineering', 'continuous', 'development'), 1)
(('development', 'software', 'production', 'deployment', 'future'), 1)
(('software', 'production', 'deployment', 'future', 'generation'), 1)
(('production', 'deployment', 'future', 'generation', 'computer'), 1)
(('deployment', 'future', 'generation', 'computer', 'systems'), 1)
(('future', 'generation', 'computer', 'systems', 'software'), 1)
(('generation', 'computer', 'systems', 'software', 'testing'), 1)
(('computer', 'systems', 'software', 'testing', 'verification'), 1)
(('systems', 'software', 'testing', 'verification', 'validation'), 1)
(('software', 'testing', 'verification', 'validation', 'applied'), 1)
(('testing', 'verification', 'validation', 'applied', 'computing'), 1)
(('verification', 'validation', 'applied', 'computing', 'network'), 1)
(('validation', 'applied', 'computing', 'network', 'service'), 1)
(('applied', 'computing', 'network', 'service', 'management'), 1)
(('computing', 'network', 'service', 'management', 'software'), 1)
(('network', 'service', 'management', 'software', 'engineering'), 1)
(('service', 'management', 'software', 'engineering', 'software'), 1)
(('management', 'software', 'engineering', 'software', 'engineering'), 1)
(('software', 'engineering', 'software', 'engineering', 'education'), 1)
(('engineering', 'software', 'engineering', 'education', 'automation'), 1)
(('software', 'engineering', 'education', 'automation', 'software'), 1)
(('engineering', 'education', 'automation', 'software', 'test'), 1)
(('education', 'automation', 'software', 'test', 'information'), 1)
(('automation', 'software', 'test', 'information', 'software'), 1)
(('software', 'test', 'information', 'software', 'technology'), 1)
(('test', 'information', 'software', 'technology', 'empirical'), 1)
(('information', 'software', 'technology', 'empirical', 'software'), 1)
(('software', 'technology', 'empirical', 'software', 'engineering'), 1)
(('technology', 'empirical', 'software', 'engineering', 'software'), 1)
