(('engineering', 'languages', 'systems'), 30)
(('cloud', 'applications', 'iot'), 1)
(('applications', 'iot', 'systems'), 1)
(('iot', 'systems', 'provisioning'), 1)
(('systems', 'provisioning', 'management'), 1)
(('provisioning', 'management', 'cloud'), 1)
(('management', 'cloud', 'computing'), 1)
(('cloud', 'computing', 'engineering'), 1)
(('computing', 'engineering', 'serviceoriented'), 1)
(('engineering', 'serviceoriented', 'applications'), 1)
(('serviceoriented', 'applications', 'cloud'), 1)
(('applications', 'cloud', 'services'), 1)
(('cloud', 'services', 'cloud'), 1)
(('services', 'cloud', 'computing'), 1)
(('cloud', 'computing', 'data'), 1)
(('computing', 'data', 'science'), 1)
(('data', 'science', 'engineering'), 1)
(('science', 'engineering', 'software'), 1)
(('engineering', 'software', 'architecture'), 1)
(('software', 'architecture', 'model'), 1)
(('architecture', 'model', 'driven'), 1)
(('applied', 'computing', 'autonomic'), 1)
(('computing', 'autonomic', 'computing'), 1)
(('autonomic', 'computing', 'selforganizing'), 1)
(('computing', 'selforganizing', 'systems'), 1)
(('selforganizing', 'systems', 'modeldriven'), 1)
(('development', 'software', 'testing'), 1)
(('verification', 'validation', 'computational'), 1)
(('validation', 'computational', 'intelligence'), 1)
(('computational', 'intelligence', 'web'), 1)
(('intelligence', 'web', 'services'), 1)
(('web', 'services', 'systems'), 1)
(('services', 'systems', 'software'), 1)
(('systems', 'software', 'component'), 1)
(('software', 'component', 'based'), 1)
(('component', 'based', 'software'), 1)
(('based', 'software', 'engineering'), 1)
(('software', 'engineering', 'cbse'), 1)
(('engineering', 'cbse', 'computer'), 1)
(('cbse', 'computer', 'technology'), 1)
(('computer', 'technology', 'applications'), 1)
(('technology', 'applications', 'systems'), 1)
(('applications', 'systems', 'software'), 1)
(('product', 'line', 'formal'), 1)
(('line', 'formal', 'methods'), 1)
(('formal', 'methods', 'industrial'), 1)
(('methods', 'industrial', 'critical'), 1)
(('industrial', 'critical', 'systems'), 1)
(('critical', 'systems', 'web'), 1)
(('systems', 'web', 'intelligence'), 1)
(('web', 'intelligence', 'modeling'), 1)
(('intelligence', 'modeling', 'program'), 1)
(('modeling', 'program', 'software'), 1)
(('program', 'software', 'engineering'), 1)
(('advanced', 'applications', 'services'), 1)
(('applications', 'services', 'computing'), 1)
(('services', 'computing', 'modeldriven'), 1)
(('computing', 'modeldriven', 'engineering'), 1)
(('development', 'software', 'engineering'), 1)
(('software', 'engineering', 'foundations'), 1)
(('engineering', 'foundations', 'software'), 1)
(('foundations', 'software', 'engineering'), 1)
(('software', 'engineering', 'systems'), 1)
(('engineering', 'systems', 'software'), 1)
(('practice', 'experience', 'generative'), 1)
(('experience', 'generative', 'programming'), 1)
(('generative', 'programming', 'concepts'), 1)
(('programming', 'concepts', 'experiences'), 1)
(('concepts', 'experiences', 'systems'), 1)
(('experiences', 'systems', 'programming'), 1)
(('languages', 'applications', 'software'), 1)
(('applications', 'software', 'humanity'), 1)
(('software', 'humanity', 'modelbased'), 1)
(('humanity', 'modelbased', 'development'), 1)
(('modelbased', 'development', 'embedded'), 1)
(('development', 'embedded', 'systems'), 1)
(('embedded', 'systems', 'cloud'), 1)
(('systems', 'cloud', 'computing'), 1)
(('cloud', 'computing', 'model'), 1)
(('systems', 'automated', 'configuration'), 1)
(('automated', 'configuration', 'tailoring'), 1)
(('configuration', 'tailoring', 'applications'), 1)
(('tailoring', 'applications', 'enterprise'), 1)
(('applications', 'enterprise', 'distributed'), 1)
(('object', 'computing', 'software'), 1)
(('computing', 'software', 'testing'), 1)
(('testing', 'analysis', 'information'), 1)
(('analysis', 'information', 'systems'), 1)
(('information', 'systems', 'organisation'), 1)
(('systems', 'organisation', 'systems'), 1)
(('organisation', 'systems', 'architecture'), 1)
(('systems', 'architecture', 'grid'), 1)
(('architecture', 'grid', 'computing'), 1)
(('grid', 'computing', 'selfaware'), 1)
(('computing', 'selfaware', 'internet'), 1)
(('selfaware', 'internet', 'things'), 1)
(('internet', 'things', 'software'), 1)
(('things', 'software', 'systems'), 1)
(('systems', 'modeling', 'utility'), 1)
(('modeling', 'utility', 'cloud'), 1)
(('utility', 'cloud', 'computing'), 1)
(('cloud', 'computing', 'ucc'), 1)
(('computing', 'ucc', 'internet'), 1)
(('ucc', 'internet', 'technology'), 1)
(('internet', 'technology', 'software'), 1)
(('technology', 'software', 'technologies'), 1)
(('software', 'technologies', 'applications'), 1)
(('technologies', 'applications', 'foundations'), 1)
(('applications', 'foundations', 'software'), 1)
(('foundations', 'software', 'systems'), 1)
(('systems', 'modeling', 'services'), 1)
(('modeling', 'services', 'computing'), 1)
(('services', 'computing', 'machine'), 1)
(('computing', 'machine', 'learning'), 1)
(('machine', 'learning', 'dynamic'), 1)
(('learning', 'dynamic', 'software'), 1)
(('dynamic', 'software', 'analysis'), 1)
(('software', 'analysis', 'potentials'), 1)
(('analysis', 'potentials', 'limits'), 1)
(('potentials', 'limits', 'software'), 1)
(('limits', 'software', 'engineering'), 1)
(('software', 'engineering', 'methodology'), 1)
(('engineering', 'methodology', 'software'), 1)
(('methodology', 'software', 'architecture'), 1)
(('software', 'architecture', 'object'), 1)
(('architecture', 'object', 'technology'), 1)
(('object', 'technology', 'modeldriven'), 1)
(('technology', 'modeldriven', 'engineering'), 1)
(('software', 'development', 'design'), 1)
(('development', 'design', 'automation'), 1)
(('automation', 'test', 'information'), 1)
(('software', 'technology', 'systems'), 1)
(('systems', 'software', 'empirical'), 1)
(('software', 'empirical', 'software'), 1)
(('advanced', 'applications', 'model'), 1)
(('applications', 'model', 'driven'), 1)
(('languages', 'systems', 'computer'), 1)
(('systems', 'computer', 'safety'), 1)
(('reliability', 'security', 'internet'), 1)
(('security', 'internet', 'things'), 1)
(('internet', 'things', 'model'), 1)
(('things', 'model', 'driven'), 1)
(('languages', 'systems', 'modeling'), 1)
(('systems', 'modeling', 'software'), 1)
(('modeling', 'software', 'engineering'), 1)
(('software', 'engineering', 'electronics'), 1)
(('engineering', 'electronics', 'evaluation'), 1)
(('electronics', 'evaluation', 'assessment'), 1)
(('evaluation', 'assessment', 'software'), 1)
(('assessment', 'software', 'engineering'), 1)
(('selfmanaging', 'systems', 'software'), 1)
(('advanced', 'applications', 'software'), 1)
(('applications', 'software', 'engineering'), 1)
(('software', 'engineering', 'aspects'), 1)
(('engineering', 'aspects', 'continuous'), 1)
(('aspects', 'continuous', 'development'), 1)
(('production', 'deployment', 'leveraging'), 1)
(('deployment', 'leveraging', 'applications'), 1)
(('leveraging', 'applications', 'formal'), 1)
(('formal', 'methods', 'verification'), 1)
(('methods', 'verification', 'validation'), 1)
(('verification', 'validation', 'systems'), 1)
(('validation', 'systems', 'software'), 1)
(('product', 'line', 'computers'), 1)
(('line', 'computers', 'industry'), 1)
(('computers', 'industry', 'microservices'), 1)
(('industry', 'microservices', 'science'), 1)
(('microservices', 'science', 'engineering'), 1)
(('science', 'engineering', 'production'), 1)
(('engineering', 'production', 'engineering'), 1)
(('production', 'engineering', 'model'), 1)
(('applied', 'computing', 'software'), 1)
(('computing', 'software', 'engineering'), 1)
(('advanced', 'applications', 'mathematics'), 1)
(('applications', 'mathematics', 'actuarial'), 1)
(('mathematics', 'actuarial', 'science'), 1)
(('actuarial', 'science', 'computer'), 1)
(('science', 'computer', 'science'), 1)
(('computer', 'science', 'statistics'), 1)
(('science', 'statistics', 'embedded'), 1)
(('statistics', 'embedded', 'computing'), 1)
(('embedded', 'computing', 'systems'), 1)
(('computing', 'systems', 'quality'), 1)
(('communications', 'technology', 'object'), 1)
(('technology', 'object', 'technology'), 1)
(('object', 'technology', 'information'), 1)
(('technology', 'information', 'systems'), 1)
(('information', 'systems', 'development'), 1)
(('systems', 'development', 'model'), 1)
(('development', 'model', 'driven'), 1)
(('languages', 'systems', 'emerging'), 1)
(('systems', 'emerging', 'technologies'), 1)
(('emerging', 'technologies', 'factory'), 1)
(('technologies', 'factory', 'automation'), 1)
(('factory', 'automation', 'empirical'), 1)
(('automation', 'empirical', 'software'), 1)
(('systems', 'automated', 'software'), 1)
(('engineering', 'software', 'analysis'), 1)
(('software', 'analysis', 'evolution'), 1)
(('analysis', 'evolution', 'reengineering'), 1)
(('evolution', 'reengineering', 'model'), 1)
(('reengineering', 'model', 'driven'), 1)
(('systems', 'software', 'architecture'), 1)
(('software', 'architecture', 'simulation'), 1)
(('architecture', 'simulation', 'modeling'), 1)
(('practice', 'theory', 'devops'), 1)
(('theory', 'devops', 'trustworthy'), 1)
(('devops', 'trustworthy', 'smart'), 1)
(('trustworthy', 'smart', 'iot'), 1)
(('smart', 'iot', 'systems'), 1)
(('iot', 'systems', 'model'), 1)
(('systems', 'software', 'systems'), 1)
(('systems', 'modeling', 'model'), 1)
(('modeling', 'model', 'driven'), 1)
(('product', 'line', 'qualityaware'), 1)
(('line', 'qualityaware', 'devops'), 1)
(('qualityaware', 'devops', 'software'), 1)
(('devops', 'software', 'testing'), 1)
(('testing', 'analysis', 'business'), 1)
(('analysis', 'business', 'modeling'), 1)
(('business', 'modeling', 'software'), 1)
(('modeling', 'software', 'design'), 1)
(('software', 'design', 'cloud'), 1)
(('design', 'cloud', 'computing'), 1)
(('cloud', 'computing', 'enterprise'), 1)
(('computing', 'enterprise', 'distributed'), 1)
(('languages', 'systems', 'practice'), 1)
(('systems', 'practice', 'enterprise'), 1)
(('practice', 'enterprise', 'modeling'), 1)
(('enterprise', 'modeling', 'modeling'), 1)
(('modeling', 'modeling', 'computer'), 1)
(('modeling', 'computer', 'modeling'), 1)
(('computer', 'modeling', 'simulation'), 1)
(('modeling', 'simulation', 'applied'), 1)
(('simulation', 'applied', 'sciences'), 1)
(('applied', 'sciences', 'technology'), 1)
(('sciences', 'technology', 'systems'), 1)
(('software', 'software', 'language'), 1)
(('software', 'language', 'engineering'), 1)
(('language', 'engineering', 'systems'), 1)
(('engineering', 'systems', 'programming'), 1)
(('languages', 'applications', 'automated'), 1)
(('applications', 'automated', 'software'), 1)
(('languages', 'systems', 'enterprise'), 1)
(('languages', 'systems', 'quality'), 1)
(('communications', 'technology', 'software'), 1)
(('technology', 'software', 'system'), 1)
(('software', 'system', 'processes'), 1)
(('system', 'processes', 'industrial'), 1)
(('processes', 'industrial', 'cyberphysical'), 1)
(('industrial', 'cyberphysical', 'systems'), 1)
(('cyberphysical', 'systems', 'model'), 1)
(('testing', 'analysis', 'model'), 1)
(('analysis', 'model', 'driven'), 1)
(('languages', 'systems', 'continuous'), 1)
(('systems', 'continuous', 'software'), 1)
(('continuous', 'software', 'engineering'), 1)
(('languages', 'systems', 'availability'), 1)
(('systems', 'availability', 'reliability'), 1)
(('reliability', 'security', 'theory'), 1)
(('security', 'theory', 'modeling'), 1)
(('theory', 'modeling', 'simulation'), 1)
(('modeling', 'simulation', 'simulation'), 1)
(('simulation', 'simulation', 'software'), 1)
(('simulation', 'software', 'testing'), 1)
(('verification', 'validation', 'wireless'), 1)
(('validation', 'wireless', 'communications'), 1)
(('wireless', 'communications', 'simulation'), 1)
(('communications', 'simulation', 'modeling'), 1)
(('practice', 'theory', 'industrial'), 1)
(('theory', 'industrial', 'electronics'), 1)
(('industrial', 'electronics', 'software'), 1)
(('electronics', 'software', 'engineering'), 1)
(('software', 'engineering', 'practice'), 1)
(('engineering', 'practice', 'software'), 1)
(('practice', 'software', 'engineering'), 1)
(('production', 'deployment', 'future'), 1)
(('deployment', 'future', 'generation'), 1)
(('future', 'generation', 'computer'), 1)
(('generation', 'computer', 'systems'), 1)
(('computer', 'systems', 'software'), 1)
(('verification', 'validation', 'applied'), 1)
(('validation', 'applied', 'computing'), 1)
(('applied', 'computing', 'network'), 1)
(('computing', 'network', 'service'), 1)
(('network', 'service', 'management'), 1)
(('service', 'management', 'software'), 1)
(('management', 'software', 'engineering'), 1)
(('software', 'engineering', 'education'), 1)
(('engineering', 'education', 'automation'), 1)
(('education', 'automation', 'software'), 1)
(('automation', 'software', 'test'), 1)
(('software', 'test', 'information'), 1)
(('software', 'technology', 'empirical'), 1)
(('technology', 'empirical', 'software'), 1)
(('software', 'quality', 'testing'), 1)
(('quality', 'testing', 'embedded'), 1)
(('testing', 'embedded', 'cyberphysical'), 1)
(('embedded', 'cyberphysical', 'systems'), 1)
(('cyberphysical', 'systems', 'dependable'), 1)
(('systems', 'dependable', 'systems'), 1)
(('dependable', 'systems', 'services'), 1)
(('systems', 'services', 'technologies'), 1)
(('services', 'technologies', 'industrial'), 1)
(('technologies', 'industrial', 'informatics'), 1)
(('industrial', 'informatics', 'computer'), 1)
(('informatics', 'computer', 'safety'), 1)
(('reliability', 'security', 'availability'), 1)
(('security', 'availability', 'reliability'), 1)
(('reliability', 'security', 'applications'), 1)
(('security', 'applications', 'formal'), 1)
(('formal', 'methods', 'software'), 1)
(('methods', 'software', 'systems'), 1)
(('systems', 'modeling', 'systems'), 1)
(('modeling', 'systems', 'enterprise'), 1)
(('object', 'computing', 'information'), 1)
(('computing', 'information', 'systems'), 1)
(('information', 'systems', 'software'), 1)
(('systems', 'software', 'technologies'), 1)
(('software', 'technologies', 'software'), 1)
(('technologies', 'software', 'engineering'), 1)
(('production', 'deployment', 'model'), 1)
(('deployment', 'model', 'driven'), 1)
(('languages', 'systems', 'modeldriven'), 1)
(('selfmanaging', 'systems', 'requirements'), 1)
(('systems', 'requirements', 'engineering'), 1)
(('requirements', 'engineering', 'foundation'), 1)
(('engineering', 'foundation', 'software'), 1)
(('foundation', 'software', 'quality'), 1)
(('software', 'quality', 'model'), 1)
(('quality', 'model', 'driven'), 1)
(('production', 'deployment', 'modeldriven'), 1)
(('deployment', 'modeldriven', 'engineering'), 1)
(('computational', 'science', 'computational'), 1)
(('science', 'computational', 'intelligence'), 1)
(('computational', 'intelligence', 'model'), 1)
(('intelligence', 'model', 'driven'), 1)
(('computational', 'science', 'applications'), 1)
(('science', 'applications', 'software'), 1)
(('applications', 'software', 'systems'), 1)
(('systems', 'modeling', 'dependable'), 1)
(('modeling', 'dependable', 'computing'), 1)
(('dependable', 'computing', 'design'), 1)
(('computing', 'design', 'automation'), 1)
(('automation', 'test', 'big'), 1)
(('test', 'big', 'data'), 1)
(('big', 'data', 'model'), 1)
(('data', 'model', 'driven'), 1)
